Variable,Bin id,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,Coefficient,Points
NONLIVINGAREA_AVG,3,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,0.749,5.667
NONLIVINGAREA_AVG,4,Missing,135677,0.552,123433,12244,0.09,-0.126,0.009,0.001,0.749,1.162
APARTMENTS_MODE,0,"(-inf, 0.03)",21199,0.086,19313,1886,0.089,-0.11,0.001,0.0,-0.206,6.751
APARTMENTS_MODE,1,"[0.03, 0.06)",12432,0.051,11542,890,0.072,0.126,0.001,0.0,-0.206,4.422
APARTMENTS_MODE,2,"[0.06, 0.11)",42543,0.173,39677,2866,0.067,0.192,0.006,0.001,-0.206,3.778
APARTMENTS_MODE,3,"[0.11, 0.19)",26932,0.109,25171,1761,0.065,0.224,0.005,0.001,-0.206,3.463
APARTMENTS_MODE,4,"[0.19, inf)",18097,0.074,17094,1003,0.055,0.4,0.01,0.001,-0.206,1.728
APARTMENTS_MODE,5,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.206,5.667
APARTMENTS_MODE,6,Missing,124805,0.507,113419,11386,0.091,-0.138,0.01,0.001,-0.206,7.023
BASEMENTAREA_MODE,0,"(-inf, 0.02)",18319,0.074,16906,1413,0.077,0.046,0.0,0.0,0.635,7.06
BASEMENTAREA_MODE,1,"[0.02, 0.08)",41056,0.167,38171,2885,0.07,0.146,0.003,0.0,0.635,10.122
BASEMENTAREA_MODE,2,"[0.08, 0.13)",24685,0.1,23028,1657,0.067,0.195,0.004,0.0,0.635,11.619
BASEMENTAREA_MODE,3,"[0.13, inf)",18080,0.073,17053,1027,0.057,0.373,0.009,0.001,0.635,17.037
BASEMENTAREA_MODE,4,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,0.635,5.667
BASEMENTAREA_MODE,5,Missing,143868,0.585,131058,12810,0.089,-0.111,0.008,0.001,0.635,2.294
YEARS_BEGINEXPLUATATION_MODE,0,"(-inf, 0.97)",17347,0.071,15910,1437,0.083,-0.032,0.0,0.0,0.132,5.466
YEARS_BEGINEXPLUATATION_MODE,1,"[0.97, 0.98)",16674,0.068,15410,1264,0.076,0.065,0.0,0.0,0.132,6.076
